R Y M K 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -17.281252 -58.727787 
-72.543299 -3.465741 -31.096764 -44.912276 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -58.727787 -17.281252 
-72.543299 -3.465741 -31.096764 -44.912276 
-72.543299 -3.465741 -58.727787 -17.281252 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -48.378016 -103.640063 
-145.086597 -6.931482 -103.640063 -48.378016 
-145.086597 -6.931482 -62.193528 -89.824551 
-145.086597 -6.931482 -89.824551 -62.193528 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -48.378016 -103.640063 
-145.086597 -6.931482 -117.455574 -34.562505 
-145.086597 -6.931482 -89.824551 -62.193528 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -76.009040 -76.009040 
-145.086597 -6.931482 -76.009040 -76.009040 
-188.612577 -9.010926 -78.088484 -119.535019 
-188.612577 -9.010926 -133.350530 -64.272973 
-188.612577 -9.010926 -119.535019 -78.088484 
-188.612577 -9.010926 -147.166042 -50.457461 
-188.612577 -9.010926 -105.719507 -91.903996 
-188.612577 -9.010926 -78.088484 -119.535019 
-188.612577 -9.010926 -105.719507 -91.903996 
-188.612577 -9.010926 -133.350530 -64.272973 
-609.363709 -29.112224 -374.500013 -263.975920 
-609.363709 -29.112224 -305.422455 -333.053478 
-609.363709 -29.112224 -374.500013 -263.975920 
-609.363709 -29.112224 -415.946547 -222.529385 
-609.363709 -29.112224 -402.131036 -236.344897 
-609.363709 -29.112224 -333.053478 -305.422455 
-609.363709 -29.112224 -333.053478 -305.422455 
-609.363709 -29.112224 -402.131036 -236.344897 
-609.363709 -29.112224 -346.868989 -291.606943 
-609.363709 -29.112224 -291.606943 -346.868989 
-58.034639 -2.772593 -44.219127 -16.588104 
-58.034639 -2.772593 -30.403616 -30.403616 
-58.034639 -2.772593 -44.219127 -16.588104 
-58.034639 -2.772593 -44.219127 -16.588104 
-58.034639 -2.772593 -16.588104 -44.219127 
-58.034639 -2.772593 -16.588104 -44.219127 
-58.034639 -2.772593 -30.403616 -30.403616 
-58.034639 -2.772593 -16.588104 -44.219127 
-58.034639 -2.772593 -16.588104 -44.219127 
-203.121236 -9.704075 -134.043679 -78.781632 
-203.121236 -9.704075 -51.150609 -161.674702 
-203.121236 -9.704075 -134.043679 -78.781632 
-203.121236 -9.704075 -147.859190 -64.966121 
-203.121236 -9.704075 -106.412655 -106.412655 
-203.121236 -9.704075 -134.043679 -78.781632 
-203.121236 -9.704075 -120.228167 -92.597144 
-101.560618 -4.852037 -60.114083 -46.298572 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -46.298572 -60.114083 
-101.560618 -4.852037 -73.929595 -32.483060 
-101.560618 -4.852037 -60.114083 -46.298572 
-101.560618 -4.852037 -18.667549 -87.745107 
