R Y M K 
-58.727787 -17.281252 -3.465741 -72.543299 
-44.912276 -31.096764 -3.465741 -72.543299 
-89.824551 -62.193528 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-76.009040 -76.009040 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-103.640063 -48.378016 -6.931482 -145.086597 
-117.455574 -34.562505 -6.931482 -145.086597 
-76.009040 -76.009040 -6.931482 -145.086597 
-89.824551 -62.193528 -6.931482 -145.086597 
-48.378016 -103.640063 -6.931482 -145.086597 
-89.824551 -62.193528 -6.931482 -145.086597 
-103.640063 -48.378016 -6.931482 -145.086597 
-78.088484 -119.535019 -9.010926 -188.612577 
-78.088484 -119.535019 -9.010926 -188.612577 
-105.719507 -91.903996 -9.010926 -188.612577 
-319.237966 -319.237966 -29.112224 -609.363709 
-415.946547 -222.529385 -29.112224 -609.363709 
-277.791432 -360.684501 -29.112224 -609.363709 
-333.053478 -305.422455 -29.112224 -609.363709 
-277.791432 -360.684501 -29.112224 -609.363709 
-236.344897 -402.131036 -29.112224 -609.363709 
-263.975920 -374.500013 -29.112224 -609.363709 
-305.422455 -333.053478 -29.112224 -609.363709 
-236.344897 -402.131036 -29.112224 -609.363709 
-263.975920 -374.500013 -29.112224 -609.363709 
-44.219127 -16.588104 -2.772593 -58.034639 
-30.403616 -30.403616 -2.772593 -58.034639 
-16.588104 -44.219127 -2.772593 -58.034639 
-16.588104 -44.219127 -2.772593 -58.034639 
-30.403616 -30.403616 -2.772593 -58.034639 
-120.228167 -92.597144 -9.704075 -203.121236 
-120.228167 -92.597144 -9.704075 -203.121236 
-73.929595 -32.483060 -4.852037 -101.560618 
-73.929595 -32.483060 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-150.631783 -123.000760 -12.476667 -261.155875 
-164.447294 -109.185248 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-109.185248 -164.447294 -12.476667 -261.155875 
-67.738713 -205.893829 -12.476667 -261.155875 
-81.554225 -192.078318 -12.476667 -261.155875 
-192.078318 -81.554225 -12.476667 -261.155875 
-178.262806 -95.369737 -12.476667 -261.155875 
-150.631783 -123.000760 -12.476667 -261.155875 
-109.185248 -164.447294 -12.476667 -261.155875 
-46.991720 -74.622743 -5.545185 -116.069278 
-102.253766 -19.360697 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-88.438255 -33.176209 -19.360697 -102.253766 
-46.991720 -74.622743 -5.545185 -116.069278 
-102.253766 -19.360697 -5.545185 -116.069278 
-60.807232 -60.807232 -5.545185 -116.069278 
-88.438255 -33.176209 -5.545185 -116.069278 
-74.622743 -46.991720 -5.545185 -116.069278 
-29.710468 -15.894956 -2.079445 -43.525979 
-15.894956 -29.710468 -2.079445 -43.525979 
-29.710468 -15.894956 -2.079445 -43.525979 
-29.710468 -15.894956 -2.079445 -43.525979 
-29.710468 -15.894956 -2.079445 -43.525979 
-15.894956 -29.710468 -2.079445 -43.525979 
-35.948801 -146.472894 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-49.764313 -132.657382 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-49.764313 -132.657382 -8.317778 -174.103917 
-82.247373 -206.586977 -13.169815 -275.664535 
-123.693908 -165.140443 -13.169815 -275.664535 
-96.062885 -192.771466 -13.169815 -275.664535 
-123.693908 -165.140443 -13.169815 -275.664535 
-109.878396 -178.955954 -13.169815 -275.664535 
-137.509419 -151.324931 -13.169815 -275.664535 
-165.140443 -123.693908 -13.169815 -275.664535 
-137.509419 -151.324931 -13.169815 -275.664535 
-81.554225 -192.078318 -12.476667 -261.155875 
-95.369737 -178.262806 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-81.554225 -192.078318 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-123.000760 -150.631783 -12.476667 -261.155875 
-123.000760 -150.631783 -12.476667 -261.155875 
-81.554225 -192.078318 -12.476667 -261.155875 
-60.114083 -46.298572 -4.852037 -101.560618 
-73.929595 -32.483060 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-60.114083 -46.298572 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-118.841871 -63.579824 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-49.764313 -132.657382 -8.317778 -174.103917 
-44.912276 -31.096764 -3.465741 -72.543299 
-17.281252 -58.727787 -3.465741 -72.543299 
-35.948801 -146.472894 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-105.026359 -77.395336 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-35.948801 -146.472894 -8.317778 -174.103917 
-104.333211 -62.886676 -7.624630 -159.595257 
-90.517699 -76.702188 -7.624630 -159.595257 
-104.333211 -62.886676 -7.624630 -159.595257 
-31.789912 -59.420935 -4.158889 -87.051958 
-45.605424 -45.605424 -4.158889 -87.051958 
-59.420935 -31.789912 -4.158889 -87.051958 
-45.605424 -45.605424 -4.158889 -87.051958 
-31.789912 -59.420935 -4.158889 -87.051958 
-45.605424 -45.605424 -4.158889 -87.051958 
-59.420935 -31.789912 -4.158889 -87.051958 
-73.236447 -17.974401 -4.158889 -87.051958 
-59.420935 -31.789912 -4.158889 -87.051958 
-134.043679 -78.781632 -9.704075 -203.121236 
-78.781632 -134.043679 -9.704075 -203.121236 
-147.859190 -64.966121 -9.704075 -203.121236 
-78.781632 -134.043679 -9.704075 -203.121236 
-120.228167 -92.597144 -9.704075 -203.121236 
-120.228167 -92.597144 -9.704075 -203.121236 
-151.324931 -137.509419 -13.169815 -275.664535 
-96.062885 -192.771466 -13.169815 -275.664535 
-109.878396 -178.955954 -13.169815 -275.664535 
-82.247373 -206.586977 -13.169815 -275.664535 
-109.878396 -178.955954 -13.169815 -275.664535 
-151.324931 -137.509419 -13.169815 -275.664535 
-96.062885 -192.771466 -13.169815 -275.664535 
-165.140443 -123.693908 -13.169815 -275.664535 
-165.140443 -123.693908 -13.169815 -275.664535 
-109.878396 -178.955954 -13.169815 -275.664535 
-123.693908 -165.140443 -13.169815 -275.664535 
-151.324931 -137.509419 -13.169815 -275.664535 
-120.921315 -107.105804 -10.397223 -217.629896 
-51.843757 -176.183361 -10.397223 -217.629896 
-107.105804 -120.921315 -10.397223 -217.629896 
-107.105804 -120.921315 -10.397223 -217.629896 
-134.736827 -93.290292 -10.397223 -217.629896 
-148.552338 -79.474780 -10.397223 -217.629896 
-120.921315 -107.105804 -10.397223 -217.629896 
-148.552338 -79.474780 -10.397223 -217.629896 
-65.659269 -162.367850 -10.397223 -217.629896 
-103.640063 -48.378016 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-103.640063 -48.378016 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-62.193528 -89.824551 -6.931482 -145.086597 
-76.009040 -76.009040 -6.931482 -145.086597 
-137.509419 -151.324931 -13.169815 -275.664535 
-96.062885 -192.771466 -13.169815 -275.664535 
-123.693908 -165.140443 -13.169815 -275.664535 
-137.509419 -151.324931 -13.169815 -275.664535 
-109.878396 -178.955954 -13.169815 -275.664535 
-143.747753 -281.902869 -19.408149 -406.242473 
-171.378776 -254.271846 -19.408149 -406.242473 
-185.194288 -240.456334 -19.408149 -406.242473 
-240.456334 -185.194288 -19.408149 -406.242473 
-226.640822 -199.009799 -19.408149 -406.242473 
-254.271846 -171.378776 -19.408149 -406.242473 
-91.210848 -91.210848 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-77.395336 -105.026359 -22.133290 -160.288405 
-91.210848 -91.210848 -8.317778 -174.103917 
-247.387816 -330.280885 -26.339631 -551.329070 
-316.465374 -261.203327 -26.339631 -551.329070 
-302.649862 -275.018839 -26.339631 -551.329070 
-261.203327 -316.465374 -26.339631 -551.329070 
-344.096397 -233.572304 -26.339631 -551.329070 
-247.387816 -330.280885 -26.339631 -551.329070 
-261.203327 -316.465374 -26.339631 -551.329070 
-219.756793 -357.911908 -26.339631 -551.329070 
-58.727787 -17.281252 -3.465741 -72.543299 
-31.096764 -44.912276 -3.465741 -72.543299 
-44.912276 -31.096764 -3.465741 -72.543299 
-44.912276 -31.096764 -3.465741 -72.543299 
-58.727787 -17.281252 -3.465741 -72.543299 
-17.281252 -58.727787 -3.465741 -72.543299 
-108.492100 -149.938635 -11.783519 -246.647216 
-80.861077 -177.569658 -11.783519 -246.647216 
-122.307612 -136.123123 -11.783519 -246.647216 
-108.492100 -149.938635 -11.783519 -246.647216 
-108.492100 -149.938635 -11.783519 -246.647216 
-108.492100 -149.938635 -11.783519 -246.647216 
-80.861077 -177.569658 -11.783519 -246.647216 
-108.492100 -149.938635 -11.783519 -246.647216 
-149.938635 -108.492100 -11.783519 -246.647216 
-122.307612 -136.123123 -11.783519 -246.647216 
-163.754146 -94.676588 -11.783519 -246.647216 
-80.861077 -177.569658 -11.783519 -246.647216 
-80.861077 -177.569658 -11.783519 -246.647216 
-136.123123 -122.307612 -11.783519 -246.647216 
-80.861077 -177.569658 -11.783519 -246.647216 
-122.307612 -136.123123 -11.783519 -246.647216 
-108.492100 -149.938635 -11.783519 -246.647216 
-60.807232 -60.807232 -5.545185 -116.069278 
-88.438255 -33.176209 -5.545185 -116.069278 
-46.991720 -74.622743 -5.545185 -116.069278 
-74.622743 -46.991720 -5.545185 -116.069278 
-123.693908 -165.140443 -13.169815 -275.664535 
-82.247373 -206.586977 -13.169815 -275.664535 
-137.509419 -151.324931 -13.169815 -275.664535 
-165.140443 -123.693908 -13.169815 -275.664535 
-165.140443 -123.693908 -13.169815 -275.664535 
-206.586977 -82.247373 -13.169815 -275.664535 
-206.586977 -82.247373 -13.169815 -275.664535 
-78.088484 -119.535019 -9.010926 -188.612577 
-147.166042 -50.457461 -9.010926 -188.612577 
-78.088484 -119.535019 -9.010926 -188.612577 
-133.350530 -64.272973 -9.010926 -188.612577 
-36.641949 -160.981553 -9.010926 -188.612577 
-105.719507 -91.903996 -9.010926 -188.612577 
-61.500380 -75.315891 -6.238334 -130.577938 
-89.131403 -47.684868 -6.238334 -130.577938 
-75.315891 -61.500380 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-75.315891 -61.500380 -6.238334 -130.577938 
-89.131403 -47.684868 -6.238334 -130.577938 
-109.185248 -164.447294 -12.476667 -261.155875 
-150.631783 -123.000760 -12.476667 -261.155875 
-178.262806 -95.369737 -12.476667 -261.155875 
-95.369737 -178.262806 -12.476667 -261.155875 
-123.000760 -150.631783 -12.476667 -261.155875 
-150.631783 -123.000760 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-150.631783 -123.000760 -12.476667 -261.155875 
-178.262806 -95.369737 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-152.018079 -152.018079 -13.862964 -290.173195 
-152.018079 -152.018079 -13.862964 -290.173195 
-110.571545 -193.464614 -13.862964 -290.173195 
-124.387056 -179.649102 -13.862964 -290.173195 
-61.500380 -75.315891 -6.238334 -130.577938 
-75.315891 -61.500380 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
-75.315891 -61.500380 -6.238334 -130.577938 
-60.114083 -46.298572 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-60.114083 -46.298572 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-91.210848 -91.210848 -8.317778 -174.103917 
-77.395336 -105.026359 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-91.210848 -91.210848 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-118.841871 -63.579824 -8.317778 -174.103917 
-63.579824 -118.841871 -8.317778 -174.103917 
-80.167929 -163.060998 -11.090371 -232.138556 
-121.614463 -121.614463 -11.090371 -232.138556 
-163.060998 -80.167929 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-121.614463 -121.614463 -11.090371 -232.138556 
-163.060998 -80.167929 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-121.614463 -121.614463 -11.090371 -232.138556 
-149.245486 -93.983440 -11.090371 -232.138556 
-78.781632 -134.043679 -9.704075 -203.121236 
-92.597144 -120.228167 -9.704075 -203.121236 
-78.781632 -134.043679 -9.704075 -203.121236 
-134.043679 -78.781632 -9.704075 -203.121236 
-147.859190 -64.966121 -9.704075 -203.121236 
-134.043679 -78.781632 -9.704075 -203.121236 
-64.966121 -147.859190 -9.704075 -203.121236 
-120.228167 -92.597144 -9.704075 -203.121236 
-134.043679 -78.781632 -9.704075 -203.121236 
-185.194288 -240.456334 -19.408149 -406.242473 
-212.825311 -212.825311 -19.408149 -406.242473 
-199.009799 -226.640822 -33.223661 -392.426961 
-171.378776 -254.271846 -19.408149 -406.242473 
-199.009799 -226.640822 -19.408149 -406.242473 
-295.718380 -129.932242 -19.408149 -406.242473 
-157.563265 -268.087357 -19.408149 -406.242473 
-171.378776 -254.271846 -19.408149 -406.242473 
-124.387056 -179.649102 -13.862964 -290.173195 
-152.018079 -152.018079 -13.862964 -290.173195 
-152.018079 -152.018079 -13.862964 -290.173195 
-124.387056 -179.649102 -13.862964 -290.173195 
-165.833591 -138.202568 -13.862964 -290.173195 
-207.280125 -96.756033 -13.862964 -290.173195 
-96.756033 -207.280125 -13.862964 -290.173195 
-150.631783 -123.000760 -12.476667 -261.155875 
-136.816271 -136.816271 -12.476667 -261.155875 
-95.369737 -178.262806 -12.476667 -261.155875 
-123.000760 -150.631783 -12.476667 -261.155875 
-219.709341 -53.923202 -12.476667 -261.155875 
-123.000760 -150.631783 -26.292179 -247.340364 
-164.447294 -109.185248 -12.476667 -261.155875 
-107.798952 -135.429975 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-149.245486 -93.983440 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-93.983440 -149.245486 -11.090371 -232.138556 
-90.517699 -76.702188 -7.624630 -159.595257 
-131.964234 -35.255653 -7.624630 -159.595257 
-62.886676 -104.333211 -7.624630 -159.595257 
-104.333211 -62.886676 -7.624630 -159.595257 
-35.255653 -131.964234 -7.624630 -159.595257 
-76.702188 -90.517699 -7.624630 -159.595257 
-76.702188 -90.517699 -7.624630 -159.595257 
-62.886676 -104.333211 -7.624630 -159.595257 
-118.148722 -49.071165 -7.624630 -159.595257 
-62.886676 -104.333211 -7.624630 -159.595257 
-46.298572 -60.114083 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-60.114083 -46.298572 -4.852037 -101.560618 
-18.667549 -87.745107 -4.852037 -101.560618 
-60.114083 -46.298572 -4.852037 -101.560618 
-46.298572 -60.114083 -4.852037 -101.560618 
-60.114083 -46.298572 -4.852037 -101.560618 
-73.929595 -32.483060 -4.852037 -101.560618 
-32.483060 -73.929595 -4.852037 -101.560618 
-47.684868 -89.131403 -6.238334 -130.577938 
-89.131403 -47.684868 -6.238334 -130.577938 
-102.946915 -33.869357 -6.238334 -130.577938 
-89.131403 -47.684868 -6.238334 -130.577938 
-61.500380 -75.315891 -6.238334 -130.577938 
