R Y M K 
-104.333211 -62.886676 -159.595257 -7.624630 
-31.096764 -44.912276 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-63.579824 -118.841871 -174.103917 -8.317778 
-49.764313 -132.657382 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-58.727787 -17.281252 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-76.009040 -76.009040 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-62.193528 -89.824551 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-117.455574 -34.562505 -145.086597 -6.931482 
-48.378016 -103.640063 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-103.640063 -48.378016 -145.086597 -6.931482 
-117.455574 -34.562505 -145.086597 -6.931482 
-91.903996 -105.719507 -188.612577 -9.010926 
-78.088484 -119.535019 -188.612577 -9.010926 
-78.088484 -119.535019 -188.612577 -9.010926 
-119.535019 -78.088484 -188.612577 -9.010926 
-119.535019 -78.088484 -188.612577 -9.010926 
-105.719507 -91.903996 -188.612577 -9.010926 
-360.684501 -277.791432 -609.363709 -29.112224 
-346.868989 -291.606943 -609.363709 -29.112224 
-291.606943 -346.868989 -609.363709 -29.112224 
-333.053478 -305.422455 -609.363709 -29.112224 
-360.684501 -277.791432 -609.363709 -29.112224 
-305.422455 -333.053478 -609.363709 -29.112224 
-16.588104 -44.219127 -58.034639 -2.772593 
-44.219127 -16.588104 -58.034639 -2.772593 
-30.403616 -30.403616 -58.034639 -2.772593 
-44.219127 -16.588104 -58.034639 -2.772593 
-44.219127 -16.588104 -58.034639 -2.772593 
-44.219127 -16.588104 -58.034639 -2.772593 
-147.859190 -64.966121 -203.121236 -9.704075 
-64.966121 -147.859190 -203.121236 -9.704075 
-78.781632 -134.043679 -203.121236 -9.704075 
-120.228167 -92.597144 -203.121236 -9.704075 
-161.674702 -51.150609 -203.121236 -9.704075 
-134.043679 -78.781632 -203.121236 -9.704075 
-120.228167 -92.597144 -203.121236 -9.704075 
-147.859190 -64.966121 -203.121236 -9.704075 
-120.228167 -92.597144 -203.121236 -9.704075 
-161.674702 -51.150609 -203.121236 -9.704075 
-106.412655 -106.412655 -203.121236 -9.704075 
-161.674702 -51.150609 -203.121236 -9.704075 
-147.859190 -64.966121 -203.121236 -9.704075 
-46.298572 -60.114083 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-46.298572 -60.114083 -101.560618 -4.852037 
-32.483060 -73.929595 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-73.929595 -32.483060 -87.745107 -18.667549 
-192.078318 -81.554225 -261.155875 -12.476667 
-95.369737 -178.262806 -261.155875 -12.476667 
-150.631783 -123.000760 -261.155875 -12.476667 
-150.631783 -123.000760 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-46.991720 -74.622743 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-33.176209 -88.438255 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-60.807232 -60.807232 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-46.991720 -74.622743 -116.069278 -5.545185 
-29.710468 -15.894956 -43.525979 -2.079445 
-29.710468 -15.894956 -43.525979 -2.079445 
-15.894956 -29.710468 -43.525979 -2.079445 
-15.894956 -29.710468 -43.525979 -2.079445 
-29.710468 -15.894956 -43.525979 -2.079445 
-15.894956 -29.710468 -43.525979 -2.079445 
-15.894956 -29.710468 -43.525979 -2.079445 
-15.894956 -29.710468 -43.525979 -2.079445 
-29.710468 -15.894956 -43.525979 -2.079445 
-29.710468 -15.894956 -43.525979 -2.079445 
-29.710468 -15.894956 -43.525979 -2.079445 
-118.841871 -63.579824 -160.288405 -22.133290 
-63.579824 -118.841871 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-151.324931 -137.509419 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-151.324931 -137.509419 -275.664535 -13.169815 
-123.693908 -165.140443 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-109.878396 -178.955954 -275.664535 -13.169815 
-96.062885 -192.771466 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-151.324931 -137.509419 -275.664535 -13.169815 
-136.816271 -136.816271 -261.155875 -12.476667 
-192.078318 -81.554225 -261.155875 -12.476667 
-178.262806 -95.369737 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-192.078318 -81.554225 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-164.447294 -109.185248 -261.155875 -12.476667 
-60.114083 -46.298572 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-60.114083 -46.298572 -101.560618 -4.852037 
-73.929595 -32.483060 -101.560618 -4.852037 
-18.667549 -87.745107 -101.560618 -4.852037 
-91.210848 -91.210848 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-63.579824 -118.841871 -174.103917 -8.317778 
-146.472894 -35.948801 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-58.727787 -17.281252 -72.543299 -3.465741 
-17.281252 -58.727787 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-17.281252 -58.727787 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-105.026359 -77.395336 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-63.579824 -118.841871 -174.103917 -8.317778 
-90.517699 -76.702188 -159.595257 -7.624630 
-90.517699 -76.702188 -159.595257 -7.624630 
-76.702188 -90.517699 -159.595257 -7.624630 
-31.789912 -59.420935 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-31.789912 -59.420935 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-17.974401 -73.236447 -87.051958 -4.158889 
-59.420935 -31.789912 -87.051958 -4.158889 
-45.605424 -45.605424 -87.051958 -4.158889 
-73.236447 -17.974401 -87.051958 -4.158889 
-106.412655 -106.412655 -203.121236 -9.704075 
-120.228167 -92.597144 -203.121236 -9.704075 
-161.674702 -51.150609 -203.121236 -9.704075 
-134.043679 -78.781632 -203.121236 -9.704075 
-92.597144 -120.228167 -203.121236 -9.704075 
-120.228167 -92.597144 -203.121236 -9.704075 
-92.597144 -120.228167 -203.121236 -9.704075 
-206.586977 -82.247373 -275.664535 -13.169815 
-206.586977 -82.247373 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-151.324931 -137.509419 -275.664535 -13.169815 
-137.509419 -151.324931 -275.664535 -13.169815 
-96.062885 -192.771466 -275.664535 -13.169815 
-107.105804 -120.921315 -217.629896 -10.397223 
-148.552338 -79.474780 -217.629896 -10.397223 
-176.183361 -51.843757 -217.629896 -10.397223 
-120.921315 -107.105804 -217.629896 -10.397223 
-162.367850 -65.659269 -217.629896 -10.397223 
-107.105804 -120.921315 -217.629896 -10.397223 
-34.562505 -117.455574 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-89.824551 -62.193528 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-76.009040 -76.009040 -145.086597 -6.931482 
-220.402489 -68.431862 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-206.586977 -82.247373 -275.664535 -13.169815 
-109.878396 -178.955954 -275.664535 -13.169815 
-165.140443 -123.693908 -275.664535 -13.169815 
-137.509419 -151.324931 -275.664535 -13.169815 
-109.878396 -178.955954 -275.664535 -13.169815 
-240.456334 -185.194288 -406.242473 -19.408149 
-240.456334 -185.194288 -406.242473 -19.408149 
-240.456334 -185.194288 -406.242473 -19.408149 
-118.841871 -63.579824 -174.103917 -8.317778 
-118.841871 -63.579824 -174.103917 -8.317778 
-63.579824 -118.841871 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-132.657382 -49.764313 -174.103917 -8.317778 
-146.472894 -35.948801 -174.103917 -8.317778 
-91.210848 -91.210848 -174.103917 -8.317778 
-233.572304 -344.096397 -551.329070 -26.339631 
-302.649862 -275.018839 -551.329070 -26.339631 
-316.465374 -261.203327 -551.329070 -26.339631 
-330.280885 -247.387816 -551.329070 -26.339631 
-357.911908 -219.756793 -551.329070 -26.339631 
-247.387816 -330.280885 -551.329070 -26.339631 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-31.096764 -44.912276 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-44.912276 -31.096764 -72.543299 -3.465741 
-58.727787 -17.281252 -72.543299 -3.465741 
-149.938635 -108.492100 -246.647216 -11.783519 
-191.385169 -67.045565 -246.647216 -11.783519 
-94.676588 -163.754146 -246.647216 -11.783519 
-163.754146 -94.676588 -246.647216 -11.783519 
-149.938635 -108.492100 -246.647216 -11.783519 
-136.123123 -122.307612 -246.647216 -11.783519 
-108.492100 -149.938635 -246.647216 -11.783519 
-163.754146 -94.676588 -246.647216 -11.783519 
-149.938635 -108.492100 -246.647216 -11.783519 
-108.492100 -149.938635 -246.647216 -11.783519 
